,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.
97,Kuwait,1.901.855,964.281,2.866.136,"68,52%","16,27"
98,Kazajistán,1.757.828,1.788.232,3.546.060,"20,07%","-0,21"
99,Laos,29.335,16.203,45.538,"0,68%","0,15"
100,Líbano,948.425,1.024.779,1.973.204,"30,20%","13,63"
101,Santa Lucía,4.179,4.494,8.673,"4,98%","-0,47"
102,Liechtenstein,11.605,12.194,23.799,"63,26%","1,45"
103,Sri Lanka,20.745,18.961,39.706,"0,19%",0
104,Liberia,64.879,48.900,113.779,"2,54%","-0,01"
105,Lesoto,3.558,3.014,6.572,"0,33%",0
106,Lituania,57.508,78.513,136.021,"4,71%","-0,56"
107,Luxemburgo,126.129,122.759,248.888,"43,19%","11,32"
108,Letonia,104.011,161.407,265.418,"13,48%","-1,65"
109,Libia,549.153,221.993,771.146,"12,20%","0,88"
110,Marruecos,46.387,46.037,92.424,"0,27%","0,05"
111,Mónaco,12.599,13.384,25.983,"68,02%","8,68"
112,Moldavia,43.467,62.907,106.374,"2,99%","-0,65"
113,Montenegro,28.178,43.541,71.719,"11,53%","-1,14"
114,Madagascar,18.270,13.805,32.075,"0,14%",0
115,Islas Marshall,2.011,1.273,3.284,"6,08%","0,25"
116,Macedonia del Norte,54.496,76.234,130.730,"6,31%","0,01"
117,Malí,213.218,207.286,420.504,"2,41%","0,15"
118,Birmania - Myanmar,40.178,33.131,73.309,"0,14%","-0,02"
119,Mongolia,13.284,6.602,19.886,"0,65%","0,07"
120,Mauritania,94.070,72.482,166.552,"4,12%","1,54"
121,Malta,28.332,24.310,52.642,"11,69%","3,74"
122,Mauricio,15.832,12.753,28.585,"2,26%","0,27"
123,Maldivas,56.345,7.928,64.273,"14,13%","-2,95"
124,Malaui,110.893,121.910,232.803,"1,29%","-0,10"
125,México,515.917,512.886,1.028.803,"0,85%",0
126,Malasia,1.996.220,1.284.461,3.280.681,"10,52%","2,06"
127,Mozambique,155.510,166.284,321.794,"1,19%","-0,11"
128,Namibia,54.739,46.879,101.618,"4,45%","-0,53"
129,Níger,119.915,133.083,252.998,"1,26%","0,49"
130,Nigeria,657.887,541.228,1.199.115,"0,66%","0,04"
131,Nicaragua,20.723,19.539,40.262,"0,64%",0
132,Países Bajos,952.313,1.044.005,1.996.318,"11,76%","0,76"
133,Noruega,389.370,357.005,746.375,"14,32%","3,61"
134,Nepal,156.361,353.110,509.471,"1,89%","-0,25"
135,Nauru,1.071,819,1.890,"15,75%","3,92"
136,Nueva Zelanda,502.787,536.949,1.039.736,"22,54%","0,77"
137,Omán,1.552.000,304.226,1.856.226,"44,63%","17,40"
138,Panamá,94.841,89.869,184.710,"4,65%","0,35"
139,Perú,91.090,63.684,154.774,"0,52%","0,16"
140,Papúa Nueva Guinea,18.734,12.206,30.940,"0,39%","-0,07"
141,Filipinas,109.783,102.079,211.862,"0,21%","-0,01"
142,Pakistán,1.845.470,1.661.050,3.506.520,"1,79%","-0,43"
143,Polonia,259.789,359.614,619.403,"1,63%","-0,06"
144,Estado de Palestina,113.237,142.270,255.507,"5,64%","-0,77"
145,Palaos,2.996,1.941,4.937,"27,43%","-3,07"
146,Paraguay,81.303,75.159,156.462,"2,32%","-0,24"
147,Catar,1.416.361,271.279,1.687.640,"69,22%","-15,70"
148,Rumanía,146.758,134.290,281.048,"1,42%","0,54"
149,Serbia,355.180,452.261,807.441,"11,41%","0,02"
150,Rusia,5.715.211,5.928.065,11.643.276,"7,95%","0,11"
151,Ruanda,256.327,258.320,514.647,"4,53%","0,26"
152,Arabia Saudita,7.461.502,3.309.864,10.771.366,"34,68%","4,10"
153,Islas Salomón,1.450,1.135,2.585,"0,43%","-0,09"
154,Seychelles,8.954,3.837,12.791,"13,75%","1,06"
155,Sudán,311.885,308.638,620.523,"1,60%","0,06"
156,Suecia,828.027,848.237,1.676.264,"17,02%","2,31"
157,Singapur,1.122.986,1.420.652,2.543.638,"45,96%","3,32"
158,Eslovenia,134.460,103.156,237.616,"11,51%","-0,87"
159,Eslovaquia,89.011,88.613,177.624,"3,27%","0,56"
160,Sierra Leona,33.068,25.745,58.813,"0,82%","-0,41"
161,San Marino,2.867,2.328,5.195,"15,74%","0,42"
162,Senegal,141.402,125.094,266.496,"1,83%","-0,19"
163,Somalia,21.584,19.406,40.990,"0,30%","-0,10"
164,Surinam,23.544,19.583,43.127,"7,61%","0,13"
165,Sudán del Sur,430.949,413.173,844.122,"7,88%","5,17"
166,Santo Tomé y Príncipe,1.197,1.197,2.394,"1,20%","-0,34"
167,El Salvador,19.996,22.049,42.045,"0,66%","0,01"
168,Siria,445.050,426.124,871.174,"4,84%","-3,52"
169,Suazilandia,16.627,15.725,32.352,"3,00%","-0,14"
170,Chad,215.640,251.328,466.968,"3,31%","-0,18"
171,Togo,139.540,137.844,277.384,"3,79%","-0,19"
172,Tailandia,1.751.187,1.735.339,3.486.526,"5,07%","0,27"
173,Tayikistán,118.639,156.462,275.101,"3,25%","-0,41"
174,Timor Oriental,5.148,3.372,8.520,"0,71%","-0,34"
175,Turkmenistán,91.531,104.845,196.376,"3,53%","-0,36"
176,Túnez,29.253,27.279,56.532,"0,50%","0,09"
177,Tonga,2.158,1.796,3.954,"3,88%","-0,59"
178,Turquía,2.390.166,1.956.031,4.346.197,"5,52%","3,67"
179,Trinidad y Tobago,24.464,25.557,50.021,"3,65%","0,02"
180,Tuvalu,126,104,230,"2,09%","-0,11"
181,Tanzania,190.617,193.950,384.567,"0,75%","0,03"
182,Ucrania,2.113.924,2.801.218,4.915.142,"11,54%","0,97"
183,Uganda,415.845,435.330,851.175,"2,40%","0,78"
184,Uruguay,35.642,43.157,78.799,"2,27%","0,02"
185,Uzbekistán,545.721,625.152,1.170.873,"3,77%","-0,59"
186,San Vicente y las Granadinas,2.355,2.282,4.637,"4,22%","0,03"
187,Venezuela,703.458,700.990,1.404.448,"4,67%","-0,05"
188,Vietnam,42.168,30.625,72.793,"0,08%","0,01"
189,Vanuatu,1.583,1.604,3.187,"1,18%","-0,07"
190,Samoa,2.148,2.104,4.252,"2,19%","-0,56"
191,Yemen,199.390,180.492,379.882,"1,41%","0,19"
192,Sudáfrica,2.122.100,1.694.595,3.816.695,"6,89%","2,77"
193,Zambia,66.651,65.456,132.107,"0,81%","-0,27"
194,Zimbabue,225.653,174.829,400.482,"2,86%","-0,37"
